job,day,interval,assigned,min_req,pref_req,slack_min,slack_pref
cashier,1,14,1,1,2,0,1
cashier,1,15,1,1,1,0,0
cashier,1,16,1,1,1,0,0
cashier,1,17,1,1,1,0,0
cashier,1,18,1,1,2,0,1
cashier,1,19,1,1,1,0,0
cashier,1,20,1,1,1,0,0
cashier,1,21,1,1,1,0,0
cashier,1,22,0,0,0,0,0
cashier,1,23,0,0,0,0,0
cashier,1,24,0,0,0,0,0
cashier,1,25,0,0,0,0,0
cashier,1,26,0,0,0,0,0
cashier,1,27,0,0,0,0,0
cashier,1,28,0,0,0,0,0
cashier,1,29,0,0,0,0,0
cashier,1,30,1,1,1,0,0
cashier,1,31,1,1,1,0,0
cashier,1,32,1,1,1,0,0
cashier,1,33,1,1,1,0,0
cashier,1,34,1,1,1,0,0
cashier,1,35,1,1,1,0,0
cashier,1,36,1,1,2,0,1
cashier,1,37,1,1,2,0,1
cashier,1,38,0,0,0,0,0
cashier,1,39,0,0,0,0,0
cashier,1,40,0,0,0,0,0
cashier,1,41,0,0,0,0,0
cashier,2,14,1,1,1,0,0
cashier,2,15,1,1,2,0,1
cashier,2,16,1,1,1,0,0
cashier,2,17,1,1,2,0,1
cashier,2,18,1,1,1,0,0
cashier,2,19,1,1,1,0,0
cashier,2,20,1,1,1,0,0
cashier,2,21,1,1,1,0,0
cashier,2,22,0,0,0,0,0
cashier,2,23,0,0,0,0,0
cashier,2,24,0,0,0,0,0
cashier,2,25,0,0,0,0,0
cashier,2,26,0,0,0,0,0
cashier,2,27,0,0,0,0,0
cashier,2,28,0,0,0,0,0
cashier,2,29,0,0,0,0,0
cashier,2,30,1,1,1,0,0
cashier,2,31,2,1,2,0,0
cashier,2,32,2,1,2,0,0
cashier,2,33,2,1,1,0,0
cashier,2,34,2,1,1,0,0
cashier,2,35,2,1,2,0,0
cashier,2,36,2,1,1,0,0
cashier,2,37,2,1,2,0,0
cashier,2,38,1,0,0,0,0
cashier,2,39,0,0,0,0,0
cashier,2,40,0,0,0,0,0
cashier,2,41,0,0,0,0,0
cashier,3,14,1,1,1,0,0
cashier,3,15,1,1,1,0,0
cashier,3,16,1,1,1,0,0
cashier,3,17,1,1,1,0,0
cashier,3,18,1,1,2,0,1
cashier,3,19,1,1,1,0,0
cashier,3,20,1,1,1,0,0
cashier,3,21,1,1,2,0,1
cashier,3,22,0,0,0,0,0
cashier,3,23,0,0,0,0,0
cashier,3,24,0,0,0,0,0
cashier,3,25,0,0,0,0,0
cashier,3,26,0,0,0,0,0
cashier,3,27,0,0,0,0,0
cashier,3,28,0,0,0,0,0
cashier,3,29,0,0,0,0,0
cashier,3,30,1,1,2,0,1
cashier,3,31,1,1,1,0,0
cashier,3,32,1,1,1,0,0
cashier,3,33,1,1,1,0,0
cashier,3,34,1,1,1,0,0
cashier,3,35,1,1,1,0,0
cashier,3,36,1,1,1,0,0
cashier,3,37,1,1,2,0,1
cashier,3,38,0,0,0,0,0
cashier,3,39,0,0,0,0,0
cashier,3,40,0,0,0,0,0
cashier,3,41,0,0,0,0,0
cashier,4,14,1,1,1,0,0
cashier,4,15,1,1,2,0,1
cashier,4,16,1,1,1,0,0
cashier,4,17,1,1,1,0,0
cashier,4,18,1,1,2,0,1
cashier,4,19,1,1,1,0,0
cashier,4,20,1,1,1,0,0
cashier,4,21,1,1,1,0,0
cashier,4,22,0,0,0,0,0
cashier,4,23,0,0,0,0,0
cashier,4,24,0,0,0,0,0
cashier,4,25,0,0,0,0,0
cashier,4,26,0,0,0,0,0
cashier,4,27,0,0,0,0,0
cashier,4,28,0,0,0,0,0
cashier,4,29,0,0,0,0,0
cashier,4,30,1,1,1,0,0
cashier,4,31,1,1,1,0,0
cashier,4,32,2,1,2,0,0
cashier,4,33,2,1,1,0,0
cashier,4,34,2,1,2,0,0
cashier,4,35,2,1,2,0,0
cashier,4,36,1,1,1,0,0
cashier,4,37,1,1,1,0,0
cashier,4,38,0,0,0,0,0
cashier,4,39,0,0,0,0,0
cashier,4,40,0,0,0,0,0
cashier,4,41,0,0,0,0,0
cashier,5,14,1,1,1,0,0
cashier,5,15,1,1,1,0,0
cashier,5,16,1,1,1,0,0
cashier,5,17,1,1,1,0,0
cashier,5,18,1,1,2,0,1
cashier,5,19,1,1,1,0,0
cashier,5,20,1,1,1,0,0
cashier,5,21,1,1,1,0,0
cashier,5,22,0,0,0,0,0
cashier,5,23,0,0,0,0,0
cashier,5,24,0,0,0,0,0
cashier,5,25,0,0,0,0,0
cashier,5,26,0,0,0,0,0
cashier,5,27,0,0,0,0,0
cashier,5,28,0,0,0,0,0
cashier,5,29,0,0,0,0,0
cashier,5,30,1,1,1,0,0
cashier,5,31,1,1,1,0,0
cashier,5,32,1,1,2,0,1
cashier,5,33,1,1,1,0,0
cashier,5,34,1,1,1,0,0
cashier,5,35,1,1,1,0,0
cashier,5,36,1,1,1,0,0
cashier,5,37,1,1,1,0,0
cashier,5,38,0,0,0,0,0
cashier,5,39,0,0,0,0,0
cashier,5,40,0,0,0,0,0
cashier,5,41,0,0,0,0,0
cashier,6,14,1,1,1,0,0
cashier,6,15,1,1,2,0,1
cashier,6,16,1,1,1,0,0
cashier,6,17,1,1,1,0,0
cashier,6,18,1,1,1,0,0
cashier,6,19,1,1,2,0,1
cashier,6,20,1,1,1,0,0
cashier,6,21,1,1,1,0,0
cashier,6,22,0,0,0,0,0
cashier,6,23,0,0,0,0,0
cashier,6,24,0,0,0,0,0
cashier,6,25,0,0,0,0,0
cashier,6,26,0,0,0,0,0
cashier,6,27,0,0,0,0,0
cashier,6,28,0,0,0,0,0
cashier,6,29,0,0,0,0,0
cashier,6,30,1,1,1,0,0
cashier,6,31,1,1,1,0,0
cashier,6,32,1,1,2,0,1
cashier,6,33,1,1,1,0,0
cashier,6,34,1,1,1,0,0
cashier,6,35,1,1,1,0,0
cashier,6,36,1,1,1,0,0
cashier,6,37,1,1,1,0,0
cashier,6,38,0,0,0,0,0
cashier,6,39,0,0,0,0,0
cashier,6,40,0,0,0,0,0
cashier,6,41,0,0,0,0,0
cashier,7,14,1,1,1,0,0
cashier,7,15,1,1,1,0,0
cashier,7,16,1,1,1,0,0
cashier,7,17,1,1,1,0,0
cashier,7,18,1,1,1,0,0
cashier,7,19,1,1,2,0,1
cashier,7,20,1,1,1,0,0
cashier,7,21,1,1,1,0,0
cashier,7,22,0,0,0,0,0
cashier,7,23,0,0,0,0,0
cashier,7,24,0,0,0,0,0
cashier,7,25,0,0,0,0,0
cashier,7,26,0,0,0,0,0
cashier,7,27,0,0,0,0,0
cashier,7,28,0,0,0,0,0
cashier,7,29,1,0,0,0,0
cashier,7,30,2,1,2,0,0
cashier,7,31,2,1,1,0,0
cashier,7,32,2,1,2,0,0
cashier,7,33,2,1,1,0,0
cashier,7,34,2,1,1,0,0
cashier,7,35,2,1,2,0,0
cashier,7,36,2,1,2,0,0
cashier,7,37,1,1,1,0,0
cashier,7,38,0,0,0,0,0
cashier,7,39,0,0,0,0,0
cashier,7,40,0,0,0,0,0
cashier,7,41,0,0,0,0,0
waiter,1,14,0,0,0,0,0
waiter,1,15,0,0,0,0,0
waiter,1,16,0,0,0,0,0
waiter,1,17,0,0,0,0,0
waiter,1,18,0,0,0,0,0
waiter,1,19,0,0,0,0,0
waiter,1,20,0,0,0,0,0
waiter,1,21,0,0,0,0,0
waiter,1,22,0,0,0,0,0
waiter,1,23,0,0,0,0,0
waiter,1,24,0,0,0,0,0
waiter,1,25,0,0,0,0,0
waiter,1,26,0,0,0,0,0
waiter,1,27,0,0,0,0,0
waiter,1,28,0,0,0,0,0
waiter,1,29,0,0,0,0,0
waiter,1,30,0,0,0,0,0
waiter,1,31,0,0,0,0,0
waiter,1,32,0,0,0,0,0
waiter,1,33,0,0,0,0,0
waiter,1,34,0,0,0,0,0
waiter,1,35,0,0,0,0,0
waiter,1,36,0,0,0,0,0
waiter,1,37,0,0,0,0,0
waiter,1,38,0,0,0,0,0
waiter,1,39,0,0,0,0,0
waiter,1,40,0,0,0,0,0
waiter,1,41,0,0,0,0,0
waiter,2,14,0,0,0,0,0
waiter,2,15,0,0,0,0,0
waiter,2,16,0,0,0,0,0
waiter,2,17,0,0,0,0,0
waiter,2,18,0,0,0,0,0
waiter,2,19,0,0,0,0,0
waiter,2,20,0,0,0,0,0
waiter,2,21,0,0,0,0,0
waiter,2,22,0,0,0,0,0
waiter,2,23,0,0,0,0,0
waiter,2,24,0,0,0,0,0
waiter,2,25,0,0,0,0,0
waiter,2,26,0,0,0,0,0
waiter,2,27,0,0,0,0,0
waiter,2,28,0,0,0,0,0
waiter,2,29,0,0,0,0,0
waiter,2,30,0,0,0,0,0
waiter,2,31,0,0,0,0,0
waiter,2,32,0,0,0,0,0
waiter,2,33,0,0,0,0,0
waiter,2,34,0,0,0,0,0
waiter,2,35,0,0,0,0,0
waiter,2,36,0,0,0,0,0
waiter,2,37,0,0,0,0,0
waiter,2,38,0,0,0,0,0
waiter,2,39,0,0,0,0,0
waiter,2,40,0,0,0,0,0
waiter,2,41,0,0,0,0,0
waiter,3,14,0,0,0,0,0
waiter,3,15,0,0,0,0,0
waiter,3,16,0,0,0,0,0
waiter,3,17,0,0,0,0,0
waiter,3,18,0,0,0,0,0
waiter,3,19,0,0,0,0,0
waiter,3,20,0,0,0,0,0
waiter,3,21,0,0,0,0,0
waiter,3,22,0,0,0,0,0
waiter,3,23,0,0,0,0,0
waiter,3,24,0,0,0,0,0
waiter,3,25,0,0,0,0,0
waiter,3,26,0,0,0,0,0
waiter,3,27,0,0,0,0,0
waiter,3,28,0,0,0,0,0
waiter,3,29,0,0,0,0,0
waiter,3,30,0,0,0,0,0
waiter,3,31,0,0,0,0,0
waiter,3,32,0,0,0,0,0
waiter,3,33,0,0,0,0,0
waiter,3,34,0,0,0,0,0
waiter,3,35,0,0,0,0,0
waiter,3,36,0,0,0,0,0
waiter,3,37,0,0,0,0,0
waiter,3,38,0,0,0,0,0
waiter,3,39,0,0,0,0,0
waiter,3,40,0,0,0,0,0
waiter,3,41,0,0,0,0,0
waiter,4,14,0,0,0,0,0
waiter,4,15,0,0,0,0,0
waiter,4,16,0,0,0,0,0
waiter,4,17,0,0,0,0,0
waiter,4,18,0,0,0,0,0
waiter,4,19,0,0,0,0,0
waiter,4,20,0,0,0,0,0
waiter,4,21,0,0,0,0,0
waiter,4,22,0,0,0,0,0
waiter,4,23,0,0,0,0,0
waiter,4,24,0,0,0,0,0
waiter,4,25,0,0,0,0,0
waiter,4,26,0,0,0,0,0
waiter,4,27,0,0,0,0,0
waiter,4,28,0,0,0,0,0
waiter,4,29,0,0,0,0,0
waiter,4,30,0,0,0,0,0
waiter,4,31,0,0,0,0,0
waiter,4,32,0,0,0,0,0
waiter,4,33,0,0,0,0,0
waiter,4,34,0,0,0,0,0
waiter,4,35,0,0,0,0,0
waiter,4,36,0,0,0,0,0
waiter,4,37,0,0,0,0,0
waiter,4,38,0,0,0,0,0
waiter,4,39,0,0,0,0,0
waiter,4,40,0,0,0,0,0
waiter,4,41,0,0,0,0,0
waiter,5,14,0,0,0,0,0
waiter,5,15,0,0,0,0,0
waiter,5,16,0,0,0,0,0
waiter,5,17,0,0,0,0,0
waiter,5,18,0,0,0,0,0
waiter,5,19,0,0,0,0,0
waiter,5,20,0,0,0,0,0
waiter,5,21,0,0,0,0,0
waiter,5,22,0,0,0,0,0
waiter,5,23,0,0,0,0,0
waiter,5,24,0,0,0,0,0
waiter,5,25,0,0,0,0,0
waiter,5,26,0,0,0,0,0
waiter,5,27,0,0,0,0,0
waiter,5,28,0,0,0,0,0
waiter,5,29,0,0,0,0,0
waiter,5,30,0,0,0,0,0
waiter,5,31,0,0,0,0,0
waiter,5,32,0,0,0,0,0
waiter,5,33,0,0,0,0,0
waiter,5,34,0,0,0,0,0
waiter,5,35,0,0,0,0,0
waiter,5,36,0,0,0,0,0
waiter,5,37,0,0,0,0,0
waiter,5,38,0,0,0,0,0
waiter,5,39,0,0,0,0,0
waiter,5,40,0,0,0,0,0
waiter,5,41,0,0,0,0,0
waiter,6,14,0,0,0,0,0
waiter,6,15,0,0,0,0,0
waiter,6,16,0,0,0,0,0
waiter,6,17,0,0,0,0,0
waiter,6,18,0,0,0,0,0
waiter,6,19,0,0,0,0,0
waiter,6,20,0,0,0,0,0
waiter,6,21,0,0,0,0,0
waiter,6,22,0,0,0,0,0
waiter,6,23,0,0,0,0,0
waiter,6,24,0,0,0,0,0
waiter,6,25,0,0,0,0,0
waiter,6,26,0,0,0,0,0
waiter,6,27,0,0,0,0,0
waiter,6,28,0,0,0,0,0
waiter,6,29,0,0,0,0,0
waiter,6,30,0,0,0,0,0
waiter,6,31,0,0,0,0,0
waiter,6,32,0,0,0,0,0
waiter,6,33,0,0,0,0,0
waiter,6,34,0,0,0,0,0
waiter,6,35,0,0,0,0,0
waiter,6,36,0,0,0,0,0
waiter,6,37,0,0,0,0,0
waiter,6,38,0,0,0,0,0
waiter,6,39,0,0,0,0,0
waiter,6,40,0,0,0,0,0
waiter,6,41,0,0,0,0,0
waiter,7,14,0,0,0,0,0
waiter,7,15,0,0,0,0,0
waiter,7,16,0,0,0,0,0
waiter,7,17,0,0,0,0,0
waiter,7,18,0,0,0,0,0
waiter,7,19,0,0,0,0,0
waiter,7,20,0,0,0,0,0
waiter,7,21,0,0,0,0,0
waiter,7,22,0,0,0,0,0
waiter,7,23,0,0,0,0,0
waiter,7,24,0,0,0,0,0
waiter,7,25,0,0,0,0,0
waiter,7,26,0,0,0,0,0
waiter,7,27,0,0,0,0,0
waiter,7,28,0,0,0,0,0
waiter,7,29,0,0,0,0,0
waiter,7,30,0,0,0,0,0
waiter,7,31,0,0,0,0,0
waiter,7,32,0,0,0,0,0
waiter,7,33,0,0,0,0,0
waiter,7,34,0,0,0,0,0
waiter,7,35,0,0,0,0,0
waiter,7,36,0,0,0,0,0
waiter,7,37,0,0,0,0,0
waiter,7,38,0,0,0,0,0
waiter,7,39,0,0,0,0,0
waiter,7,40,0,0,0,0,0
waiter,7,41,0,0,0,0,0
